what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284652206858
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1284652206858
java.specification.name,sysinfo,,,"Java Platform API Specification",1284652206858
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284652206858
java.specification.version,sysinfo,,,"1.6",1284652206858
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284652206858
java.version,sysinfo,,,"1.6.0_19",1284652206858
java.vm.info,sysinfo,,,"mixed mode, sharing",1284652206858
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284652206858
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284652206858
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284652206858
java.vm.specification.version,sysinfo,,,"1.0",1284652206858
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284652206858
java.vm.version,sysinfo,,,"16.2-b04",1284652206858
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652213070
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1284652213308
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284652220412
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652227482
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284652239290
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284652239333
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652242127
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284652245412
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652253677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284652255037
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1284652258172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284652288638
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284652288671
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1284652294010
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1284652294111
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1284652294188
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1284652305086
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1284652305095
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284652305100
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284652307064
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284652307154
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284652308457
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1284652308531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1284652316359
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652317632
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284652322609
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1284652332397
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284652345886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1284652349858
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652351055
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1284652359068
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284652372171
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1284652374747
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652382792
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1284652388849
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284652419002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284652427228
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284652431517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284652739229
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284652741349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284652753937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653538453
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653542823
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284653544302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653548825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653561118
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284653561149
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284653569710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653578688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653764326
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284653765782
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653767272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284653774130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653817116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284653817191
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284653825964
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653840054
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653840141
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284653842487
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653842849
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653842936
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284653844876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653850176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653859529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284653859556
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284653881467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1284653931501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653932355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653957945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653959868
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653963892
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284653975976
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653982802
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653982861
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653982861
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653985160
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653985160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653986959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653988213
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284653988359
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284653988360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284653998814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654060230
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284654064501
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284654064619
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1284654065599
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1284654075130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1284654077059
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654079352
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284654111911
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284654119965
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654128951
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284654147208
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654154118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654166968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654278507
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284654280052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654284629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654351918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654353069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654603263
